2026-03-13 01:37:24.596 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:11ms 获取用户上传文件成功
2026-03-13 01:37:29.122 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:22ms 文档编辑成功
2026-03-13 01:37:29.169 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:15ms 获取用户上传文件成功
2026-03-13 01:37:31.465 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:37:31.485 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:37:31.638 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:21ms 获取用户上传文件成功
2026-03-13 01:41:16.912 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:14ms 获取用户上传文件成功
2026-03-13 01:42:39.661 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:42:39.696 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:42:39.812 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:16ms 获取用户上传文件成功
2026-03-13 01:42:45.910 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:18ms 文档编辑成功
2026-03-13 01:42:45.959 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:14ms 获取用户上传文件成功
2026-03-13 01:42:53.683 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:9ms 文档编辑成功
2026-03-13 01:42:54.021 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:14ms 获取用户上传文件成功
2026-03-13 01:42:56.831 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:17ms 文档编辑成功
2026-03-13 01:42:57.061 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:9ms 获取用户上传文件成功
2026-03-13 01:43:00.172 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:22ms 文档编辑成功
2026-03-13 01:43:00.408 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:10ms 获取用户上传文件成功
2026-03-13 01:43:04.898 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGOUT] 耗时:7ms 登出成功
